OriginalFeature0,OriginalFeature1,OriginalFeature2,OriginalFeature3,OriginalFeature4,OriginalFeature5,OriginalFeature6,OriginalFeature7,True1,True2,True3,True4,Pred1,Pred2,Pred3,Pred4
18.0,98.61233368,148.6444539,473.5161785,95.75149698,123.1251665,4555.668095,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
19.0,148.6444539,473.5161785,95.75149698,123.1251665,302.9686001,4858.636695,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
20.0,473.5161785,95.75149698,123.1251665,302.9686001,35.2273513,4893.864046,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
21.0,95.75149698,123.1251665,302.9686001,35.2273513,176.8488074,5070.712854,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
22.0,123.1251665,302.9686001,35.2273513,176.8488074,162.8173416,5233.530195,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
23.0,302.9686001,35.2273513,176.8488074,162.8173416,-41.14534477,5192.384851,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
24.0,35.2273513,176.8488074,162.8173416,-41.14534477,302.7956378,5495.180488,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
25.0,176.8488074,162.8173416,-41.14534477,302.7956378,-136.1819228,5358.998566,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
26.0,162.8173416,-41.14534477,302.7956378,-136.1819228,-207.7531201,5151.245446,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
27.0,-41.14534477,302.7956378,-136.1819228,-207.7531201,102.8880239,5254.133469,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
28.0,302.7956378,-136.1819228,-207.7531201,102.8880239,132.4942073,5386.627677,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
29.0,-136.1819228,-207.7531201,102.8880239,132.4942073,-374.4776191,5012.150058,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
30.0,-207.7531201,102.8880239,132.4942073,-374.4776191,-39.95364815,4972.196409,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
31.0,102.8880239,132.4942073,-374.4776191,-39.95364815,258.950477,5231.146887,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
32.0,132.4942073,-374.4776191,-39.95364815,258.950477,80.25990348,5311.40679,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
33.0,-374.4776191,-39.95364815,258.950477,80.25990348,-138.0185187,5173.388271,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
34.0,-39.95364815,258.950477,80.25990348,-138.0185187,76.47775955,5249.866031,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
35.0,258.950477,80.25990348,-138.0185187,76.47775955,258.2039856,5508.070016,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
36.0,80.25990348,-138.0185187,76.47775955,258.2039856,-114.4499665,5393.62005,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
37.0,-138.0185187,76.47775955,258.2039856,-114.4499665,242.7492152,5636.369265,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
38.0,76.47775955,258.2039856,-114.4499665,242.7492152,220.7981563,5857.167421,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
39.0,258.2039856,-114.4499665,242.7492152,220.7981563,180.6639894,6037.831411,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
40.0,-114.4499665,242.7492152,220.7981563,180.6639894,-17.24748114,6020.58393,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
41.0,242.7492152,220.7981563,180.6639894,-17.24748114,123.4331567,6144.017086,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
42.0,220.7981563,180.6639894,-17.24748114,123.4331567,270.8068997,6414.823986,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
43.0,180.6639894,-17.24748114,123.4331567,270.8068997,191.7647159,6606.588702,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
44.0,-17.24748114,123.4331567,270.8068997,191.7647159,3.594200607,6610.182903,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
45.0,123.4331567,270.8068997,191.7647159,3.594200607,-108.069557,6502.113346,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
46.0,270.8068997,191.7647159,3.594200607,-108.069557,94.53525564,6596.648601,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
47.0,191.7647159,3.594200607,-108.069557,94.53525564,236.8301111,6833.478712,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
48.0,3.594200607,-108.069557,94.53525564,236.8301111,174.6549389,7008.133651,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
49.0,-108.069557,94.53525564,236.8301111,174.6549389,113.2671759,7121.400827,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
50.0,94.53525564,236.8301111,174.6549389,113.2671759,-51.32806892,7070.072758,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
51.0,236.8301111,174.6549389,113.2671759,-51.32806892,428.1489663,7498.221725,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
3.0,111.0,103.0,418.8325913,201.0685011,400.8975901,1443.798683,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
4.0,103.0,418.8325913,201.0685011,400.8975901,289.528241,1733.326924,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
5.0,418.8325913,201.0685011,400.8975901,289.528241,28.55385218,1761.880776,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
6.0,201.0685011,400.8975901,289.528241,28.55385218,283.2722305,2045.153006,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
7.0,400.8975901,289.528241,28.55385218,283.2722305,51.19467982,2096.347686,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
8.0,289.528241,28.55385218,283.2722305,51.19467982,291.9177523,2388.265438,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
9.0,28.55385218,283.2722305,51.19467982,291.9177523,198.3465525,2586.611991,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
10.0,283.2722305,51.19467982,291.9177523,198.3465525,111.6612916,2698.273282,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
11.0,51.19467982,291.9177523,198.3465525,111.6612916,411.6393311,3109.912614,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
12.0,291.9177523,198.3465525,111.6612916,411.6393311,133.0327532,3242.945367,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
13.0,198.3465525,111.6612916,411.6393311,133.0327532,406.3958966,3649.341263,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
14.0,111.6612916,411.6393311,133.0327532,406.3958966,166.7562421,3816.097506,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
15.0,411.6393311,133.0327532,406.3958966,166.7562421,254.1148755,4070.212381,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
16.0,133.0327532,406.3958966,166.7562421,254.1148755,420.1545898,4490.366971,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
17.0,406.3958966,166.7562421,254.1148755,420.1545898,174.7469195,4665.11389,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
18.0,166.7562421,254.1148755,420.1545898,174.7469195,90.31649466,4755.430385,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
19.0,254.1148755,420.1545898,174.7469195,90.31649466,356.2016011,5111.631986,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
20.0,420.1545898,174.7469195,90.31649466,356.2016011,4.570170376,5116.202156,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
21.0,174.7469195,90.31649466,356.2016011,4.570170376,475.1880857,5591.390242,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
22.0,90.31649466,356.2016011,4.570170376,475.1880857,110.6659901,5702.056232,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
23.0,356.2016011,4.570170376,475.1880857,110.6659901,151.3681718,5853.424404,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
24.0,4.570170376,475.1880857,110.6659901,151.3681718,263.9952684,6117.419672,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
25.0,475.1880857,110.6659901,151.3681718,263.9952684,118.3221184,6235.741791,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
26.0,110.6659901,151.3681718,263.9952684,118.3221184,192.0958566,6427.837647,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
27.0,151.3681718,263.9952684,118.3221184,192.0958566,19.66727235,6447.50492,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
28.0,263.9952684,118.3221184,192.0958566,19.66727235,-179.3436777,6268.161242,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
29.0,118.3221184,192.0958566,19.66727235,-179.3436777,71.28012372,6339.441366,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
30.0,192.0958566,19.66727235,-179.3436777,71.28012372,3.034830304,6342.476196,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
31.0,19.66727235,-179.3436777,71.28012372,3.034830304,246.0643073,6588.540503,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
32.0,-179.3436777,71.28012372,3.034830304,246.0643073,113.387965,6701.928468,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
33.0,71.28012372,3.034830304,246.0643073,113.387965,-393.4505205,6308.477948,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
34.0,3.034830304,246.0643073,113.387965,-393.4505205,-60.76076864,6247.717179,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
35.0,246.0643073,113.387965,-393.4505205,-60.76076864,-555.2470034,5692.470176,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
36.0,113.387965,-393.4505205,-60.76076864,-555.2470034,392.4877931,6084.957969,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
37.0,-393.4505205,-60.76076864,-555.2470034,392.4877931,228.4620482,6313.420017,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
38.0,-60.76076864,-555.2470034,392.4877931,228.4620482,-135.8037571,6177.61626,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
39.0,-555.2470034,392.4877931,228.4620482,-135.8037571,116.3209367,6293.937197,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
40.0,392.4877931,228.4620482,-135.8037571,116.3209367,-196.7539463,6097.18325,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
41.0,228.4620482,-135.8037571,116.3209367,-196.7539463,403.9568555,6501.140106,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
42.0,-135.8037571,116.3209367,-196.7539463,403.9568555,314.0747121,6815.214818,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
43.0,116.3209367,-196.7539463,403.9568555,314.0747121,-124.943528,6690.27129,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
44.0,-196.7539463,403.9568555,314.0747121,-124.943528,4.357365713,6694.628656,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
45.0,403.9568555,314.0747121,-124.943528,4.357365713,18.69966265,6713.328318,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
46.0,314.0747121,-124.943528,4.357365713,18.69966265,203.4210715,6916.74939,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
47.0,-124.943528,4.357365713,18.69966265,203.4210715,209.6659607,7126.415351,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
48.0,4.357365713,18.69966265,203.4210715,209.6659607,214.211763,7340.627114,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
49.0,18.69966265,203.4210715,209.6659607,214.211763,19.56835715,7360.195471,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
50.0,203.4210715,209.6659607,214.211763,19.56835715,-128.2279143,7231.967557,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
51.0,209.6659607,214.211763,19.56835715,-128.2279143,207.3342216,7439.301778,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
4.0,103.0,418.8325913,201.0685011,400.8975901,195.1052337,1638.903916,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
5.0,418.8325913,201.0685011,400.8975901,195.1052337,16.35537028,1655.259287,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
6.0,201.0685011,400.8975901,195.1052337,16.35537028,347.0598512,2002.319138,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
7.0,400.8975901,195.1052337,16.35537028,347.0598512,463.758123,2466.077261,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
8.0,195.1052337,16.35537028,347.0598512,463.758123,-44.54481174,2421.532449,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
9.0,16.35537028,347.0598512,463.758123,-44.54481174,388.3963204,2809.928769,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
10.0,347.0598512,463.758123,-44.54481174,388.3963204,-53.02043992,2756.908329,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
11.0,463.758123,-44.54481174,388.3963204,-53.02043992,370.7158392,3127.624169,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
12.0,-44.54481174,388.3963204,-53.02043992,370.7158392,153.9594259,3281.583594,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
13.0,388.3963204,-53.02043992,370.7158392,153.9594259,73.91402894,3355.497623,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
14.0,-53.02043992,370.7158392,153.9594259,73.91402894,456.8025316,3812.300155,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
15.0,370.7158392,153.9594259,73.91402894,456.8025316,101.4630036,3913.763159,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
16.0,153.9594259,73.91402894,456.8025316,101.4630036,345.8198637,4259.583022,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
17.0,73.91402894,456.8025316,101.4630036,345.8198637,69.50457708,4329.087599,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
18.0,456.8025316,101.4630036,345.8198637,69.50457708,-131.9112408,4197.176359,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
19.0,101.4630036,345.8198637,69.50457708,-131.9112408,301.348881,4498.52524,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
20.0,345.8198637,69.50457708,-131.9112408,301.348881,275.6565718,4774.181811,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
21.0,69.50457708,-131.9112408,301.348881,275.6565718,-16.64042516,4757.541386,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
22.0,-131.9112408,301.348881,275.6565718,-16.64042516,99.3405098,4856.881896,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
23.0,301.348881,275.6565718,-16.64042516,99.3405098,148.0868413,5004.968737,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
24.0,275.6565718,-16.64042516,99.3405098,148.0868413,149.9653187,5154.934056,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
25.0,-16.64042516,99.3405098,148.0868413,149.9653187,-13.29821376,5141.635842,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
26.0,99.3405098,148.0868413,149.9653187,-13.29821376,4.658211949,5146.294054,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
27.0,148.0868413,149.9653187,-13.29821376,4.658211949,335.2976175,5481.591672,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
28.0,149.9653187,-13.29821376,4.658211949,335.2976175,8.6179406,5490.209612,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
29.0,-13.29821376,4.658211949,335.2976175,8.6179406,194.3119591,5684.521571,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
30.0,4.658211949,335.2976175,8.6179406,194.3119591,-23.04512684,5661.476445,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
31.0,335.2976175,8.6179406,194.3119591,-23.04512684,166.9327537,5828.409198,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
32.0,8.6179406,194.3119591,-23.04512684,166.9327537,147.9495007,5976.358699,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
33.0,194.3119591,-23.04512684,166.9327537,147.9495007,101.0826079,6077.441307,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
34.0,-23.04512684,166.9327537,147.9495007,101.0826079,-60.1980537,6017.243253,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
35.0,166.9327537,147.9495007,101.0826079,-60.1980537,387.6974072,6404.94066,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
36.0,147.9495007,101.0826079,-60.1980537,387.6974072,356.4246392,6761.3653,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
37.0,101.0826079,-60.1980537,387.6974072,356.4246392,576.0456862,7337.410986,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
38.0,-60.1980537,387.6974072,356.4246392,576.0456862,358.5998791,7696.010865,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
39.0,387.6974072,356.4246392,576.0456862,358.5998791,-26.3211541,7669.689711,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
40.0,356.4246392,576.0456862,358.5998791,-26.3211541,177.5204103,7847.210121,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
41.0,576.0456862,358.5998791,-26.3211541,177.5204103,345.7895496,8192.999671,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
42.0,358.5998791,-26.3211541,177.5204103,345.7895496,332.6372589,8525.63693,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
43.0,-26.3211541,177.5204103,345.7895496,332.6372589,340.8033756,8866.440305,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
44.0,177.5204103,345.7895496,332.6372589,340.8033756,68.31781099,8934.758116,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
45.0,345.7895496,332.6372589,340.8033756,68.31781099,62.77700819,8997.535124,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
46.0,332.6372589,340.8033756,68.31781099,62.77700819,353.372508,9350.907632,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
47.0,340.8033756,68.31781099,62.77700819,353.372508,232.480758,9583.38839,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
48.0,68.31781099,62.77700819,353.372508,232.480758,167.8346074,9751.222998,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
49.0,62.77700819,353.372508,232.480758,167.8346074,96.50608449,9847.729082,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
50.0,353.372508,232.480758,167.8346074,96.50608449,-49.25115022,9798.477932,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
